tweet_id	misogyny
0	misogyny
1	none
2	misogyny
3	misogyny
4	misogyny
5	misogyny
6	none
7	none
8	none
9	misogyny
10	misogyny
11	misogyny
12	none
13	misogyny
14	misogyny
15	misogyny
16	none
17	none
18	misogyny
19	none
20	none
21	none
22	misogyny
23	misogyny
24	misogyny
25	none
26	none
27	misogyny
28	misogyny
29	misogyny
30	none
31	none
32	misogyny
33	misogyny
34	none
35	none
36	none
37	none
38	misogyny
39	misogyny
40	misogyny
41	none
42	misogyny
43	misogyny
44	misogyny
45	misogyny
46	none
47	misogyny
48	misogyny
49	misogyny
50	misogyny
51	none
52	misogyny
53	misogyny
54	none
55	misogyny
56	misogyny
57	misogyny
58	misogyny
59	misogyny
60	none
61	none
62	none
63	none
64	misogyny
65	none
66	none
67	misogyny
68	none
69	misogyny
70	none
71	misogyny
72	none
73	misogyny
74	misogyny
75	none
76	misogyny
77	none
78	none
79	none
80	misogyny
81	misogyny
82	none
83	misogyny
84	misogyny
85	misogyny
86	none
87	misogyny
88	none
89	none
90	misogyny
91	misogyny
92	misogyny
93	misogyny
94	misogyny
95	misogyny
96	misogyny
97	misogyny
98	none
99	misogyny
100	none
101	none
102	misogyny
103	none
104	misogyny
105	misogyny
106	none
107	none
108	misogyny
109	misogyny
110	none
111	misogyny
112	none
113	misogyny
114	none
115	none
116	misogyny
117	none
118	misogyny
119	misogyny
120	misogyny
121	misogyny
122	misogyny
123	none
124	misogyny
125	misogyny
126	none
127	misogyny
128	misogyny
129	none
130	misogyny
131	misogyny
132	misogyny
133	misogyny
134	misogyny
135	misogyny
136	none
137	misogyny
138	misogyny
139	none
140	misogyny
141	misogyny
142	misogyny
143	misogyny
144	none
145	misogyny
146	misogyny
147	misogyny
148	misogyny
149	misogyny
150	misogyny
151	misogyny
152	misogyny
153	misogyny
154	none
155	none
156	misogyny
157	misogyny
158	misogyny
159	misogyny
160	misogyny
161	none
162	none
163	misogyny
164	misogyny
165	none
166	none
167	misogyny
168	misogyny
169	none
170	misogyny
